_id,facility_code,facility_name,facility_name_short,first_nation_name,facility_latitude,facility_type,treatment_spaces,open_hours,open_days,web_url,alert_active,alert_message,data_uploaded_timestamp
<p>Please note we are an adult Emergency Department and can only provide initial care for children," including infants. Any children seen in Emergency are usually referred to <a href=""""https://www.health.qld.gov.au/tpch"""">The Prince Charles Hospital </a>or <a href=""""https://www.childrens.health.qld.gov.au/qch/"""">Queensland Childrenâ€™s Hospital</a> for further care.</p>",,,,,,,,,,,,
35,00223,Mareeba Hospital,Mareeba Hospital,,-16.9870148,Hospital,12,24 hours,365 days/year,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/mareeba-hospital,false,,2025-10-31 20:19:00.000000 UTC
34,00070,Kingaroy Hospital,Kingaroy Hospital,,-26.5321581,Hospital,17,24 hours,365 days/year,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/kingaroy-hospital,false,,2025-10-31 20:19:00.000000 UTC
23,00246,Mount Isa Hospital,Mount Isa Hospital,,-20.73065,Hospital,17,24 hours,365 days/year,https://www.northwest.health.qld.gov.au/our-facilities/mount-isa/,false,,2025-10-31 20:19:00.000000 UTC
16,00136,Gladstone Hospital,Gladstone Hospital,,-23.8505712,Hospital,18,24 hours,365 days/year,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/gladstone-hospital,false,,2025-10-31 20:19:00.000000 UTC
12,00068,Gympie Hospital,Gympie Hospital,,-26.1843586,Hospital,25,24 hours,365 days/year,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/gympie-hospital,false,,2025-10-31 20:19:00.000000 UTC
14,00071,Maryborough Hospital,Maryborough Hospital,,-25.5229511,Hospital,25,24 hours,365 days/year,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/maryborough-hospital,false,,2025-10-31 20:19:00.000000 UTC
6,00028,Redland Hospital,Redland Hospital,,-27.5415365,Hospital,28,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/redland-hospital,false,,2025-10-31 20:19:00.000000 UTC
5,00022,Queen Elizabeth II Jubilee Hospital,Queen Elizabeth II Jubilee Hospital,QEII,-27.5591458,Hospital,28,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/qeii-jubilee-hospital,false,,2025-10-31 20:19:00.000000 UTC
17,00141,Rockhampton Hospital,Rockhampton Hospital,,-23.3796131,Hospital,30,24 hours,365 days/year,https://www.cq.health.qld.gov.au/hospitals-and-health-centres/rockhampton-hospital,false,,2025-10-31 20:19:00.000000 UTC
2,00011,Princess Alexandra Hospital,Princess Alexandra Hospital,PAH,-27.4991376,Hospital,35,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/princess-alexandra-hospital,false,We don't treat,2025-10-31 20:19:00.000000 UTC
11,00062,Bundaberg Hospital,Bundaberg Hospital,,-24.8696298,Hospital,37,24 hours,365 days/year,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/bundaberg-hospital,false,,2025-10-31 20:19:00.000000 UTC
21,00202,Queensland Children's Hospital,Queensland Children's Hospital,QCH,-27.483973,Hospital,45,24 hours,365 days/year,https://www.childrens.health.qld.gov.au/,false,,2025-10-31 20:19:00.000000 UTC
13,00069,Hervey Bay Hospital,Hervey Bay Hospital,,-25.2992353,Hospital,46,24 hours,365 days/year,https://www.widebay.health.qld.gov.au/hospitals-and-health-centres/hervey-bay-hospital,false,,2025-10-31 20:19:00.000000 UTC
22,00214,Cairns Hospital,Cairns Hospital,,-16.9124244,Hospital,46,24 hours,365 days/year,https://www.cairns-hinterland.health.qld.gov.au/hospitals-and-health-centres/cairns-hospital,false,,2025-10-31 20:19:00.000000 UTC
10,00049,Nambour Hospital,Nambour Hospital,,-26.62002,Hospital,47,24 hours,365 days/year,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/nambour-general-hospital,false,,2025-10-31 20:19:00.000000 UTC
18,00172,Mackay Base Hospital,Mackay Base Hospital,,-21.1463997,Hospital,50,24 hours,365 days/year,https://www.mackay.health.qld.gov.au/your-hospitals/mackay-base-hospital/,false,,2025-10-31 20:19:00.000000 UTC
7,00029,Logan Hospital,Logan Hospital,,-27.6700261,Hospital,52,24 hours,365 days/year,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/logan-hospital,false,,2025-10-31 20:19:00.000000 UTC
8,00030,Caboolture Hospital,Caboolture Hospital,,-27.0801444,Hospital,57,24 hours,365 days/year,http://metronorth.health.qld.gov.au/caboolture,false,,2025-10-31 20:19:00.000000 UTC
24,00934,Robina Hospital,Robina Hospital,,-28.0718506,Hospital,58,24 hours,365 days/year,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/robina-hospital,false,,2025-10-31 20:19:00.000000 UTC
4,00016,Redcliffe Hospital,Redcliffe Hospital,,-27.2285251,Hospital,63,24 hours,365 days/year,http://metronorth.health.qld.gov.au/redcliffe,false,,2025-10-31 20:19:00.000000 UTC
20,00201,Royal Brisbane and Women's Hospital,Royal Brisbane and Women's Hospital,RBWH,-27.4498674,Hospital,65,24 hours,365 days/year,https://metronorth.health.qld.gov.au/rbwh/,false,Our services,2025-10-31 20:19:00.000000 UTC
1,00004,The Prince Charles Hospital,The Prince Charles Hospital,TPCH,-27.390155,Hospital,67,24 hours,365 days/year,https://metronorth.health.qld.gov.au/tpch,false,,2025-10-31 20:19:00.000000 UTC
15,00104,Toowoomba Hospital,Toowoomba Hospital,,-27.5698678,Hospital,70,24 hours,365 days/year,https://www.darlingdowns.health.qld.gov.au/hospitals-and-health-centres/toowoomba-hospital,false,,2025-10-31 20:19:00.000000 UTC
3,00015,Ipswich Hospital,Ipswich Hospital,,-27.6190823,Hospital,81,24 hours,365 days/year,https://www.westmoreton.health.qld.gov.au/hospitals-and-health-centres/ipswich-hospital,false,,2025-10-31 20:19:00.000000 UTC
9,00032,Sunshine Coast University Hospital,Sunshine Coast University Hospital,SCUH,-26.7456257,Hospital,87,24 hours,365 days/year,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/sunshine-coast-university-hospital,false,,2025-10-31 20:19:00.000000 UTC
19,00200,Townsville University Hospital,Townsville University Hospital,TUH,-19.3206881,Hospital,95,24 hours,365 days/year,https://www.townsville.health.qld.gov.au/facilities/townsville/townsville-university-hospital/,false,,2025-10-31 20:19:00.000000 UTC
25,00936,Gold Coast University Hospital,Gold Coast University Hospital,GCUH,-27.9595647,Hospital,104,24 hours,365 days/year,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/gold-coast-university-hospital,false,,2025-10-31 20:19:00.000000 UTC
29,15003,Caboolture Satellite Health Centre (Kabul),Caboolture Satellite Health Centre,Kabul,-27.0795776,MIIC,6,8am - 10pm,7 days/week,https://metronorth.health.qld.gov.au/hospitals-services/satellite-hospitals,false,,2025-10-31 20:19:00.000000 UTC
30,15004,Bribie Island Satellite Health Centre (Yarun),Bribie Island Satellite Health Centre,Yarun,-27.0814487,MIIC,6,8am - 10pm,7 days/week,https://metronorth.health.qld.gov.au/hospitals-services/satellite-hospitals,false,,2025-10-31 20:19:00.000000 UTC
27,15001,Ripley Satellite Health Centre (Moodoombar Dabbil),Ripley Satellite Health Centre,Moodoombar Dabbil,-27.6938454,MIIC,7,8am - 10pm,7 days/week,https://www.westmoreton.health.qld.gov.au/hospitals-and-health-centres/ripley-satellite-hospital,false,,2025-10-31 20:19:00.000000 UTC
26,15000,Tugun Satellite Health Centre (Banyahrmabah),Tugun Satellite Health Centre,Banyahrmabah,-28.1543864,MIIC,8,8am - 10pm,7 days/week,https://www.goldcoast.health.qld.gov.au/hospitals-and-centres/tugun-satellite-hospital-banyahrmabah,false,,2025-10-31 20:19:00.000000 UTC
28,15002,Kallangur Satellite Health Centre (Kalangoor),Kallangur Satellite Health Centre,Kalangoor,-27.2580685,MIIC,10,8am - 10pm,7 days/week,https://metronorth.health.qld.gov.au/hospitals-services/satellite-hospitals,false,,2025-10-31 20:19:00.000000 UTC
33,00043,Caloundra Health Service,Caloundra Health Service,,-26.8002842,MIIC,10,8am - 10pm,7 days/week,https://www.sunshinecoast.health.qld.gov.au/hospitals-and-health-centres/caloundra-health-service,false,Caloundra Health Service is for urgent (but not life threatening) conditions,2025-10-31 20:19:00.000000 UTC
31,15005,Eight Mile Plains Satellite Health Centre (Maroo-goodji-ba),Eight Mile Plains Satellite Health Centre,Maroo-goodji-ba,-27.5884533,MIIC,12,8am - 10pm,7 days/week,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/eight-mile-plains-satellite-hospital,false,,2025-10-31 20:19:00.000000 UTC
32,15006,Redlands Satellite Health Centre (Talwalpin Milbul),Redlands Satellite Health Centre,Talwalpin Milbul,-27.6203238,MIIC,12,8am - 10pm,7 days/week,https://www.metrosouth.health.qld.gov.au/hospital-and-health-centres/redlands-satellite-hospital,false,,2025-10-31 20:19:00.000000 UTC